,카테고리,위도,경도
201,보안등,37.5686683227,126.8229881841
202,보안등,37.5687564335,126.8234049799
203,보안등,37.5683563893,126.82328277069999
204,보안등,37.5682501959,126.82330543370001
205,보안등,37.5680582135,126.82319812809999
206,보안등,37.5683757933,126.8228236149
207,보안등,37.5678460525,126.8230933611
208,보안등,37.5721720262,126.8225728301
209,보안등,37.5687564335,126.8234049799
210,보안등,37.5687564335,126.8234049799
211,보안등,37.5687564335,126.8234049799
212,보안등,37.5749343091,126.8370849774
213,보안등,37.5691176713,126.8432748661
214,보안등,37.5709015327,126.8401037734
215,보안등,37.5690978899,126.8406799375
216,보안등,37.5725027763,126.8420421666
217,보안등,37.567323686900004,126.8485805016
218,보안등,37.5756401883,126.83685352270001
219,보안등,37.5676454165,126.84149823770001
220,보안등,37.5735036788,126.8377156778
221,보안등,,
222,보안등,37.56923236,126.8423891083
223,보안등,37.5653273904,126.84575653520001
224,보안등,37.5653273904,126.84575653520001
225,보안등,37.5653273904,126.84575653520001
226,보안등,37.5653273904,126.84575653520001
227,보안등,37.5740033617,126.83777515620001
228,보안등,37.5653273904,126.84575653520001
229,보안등,37.5687564335,126.8234049799
230,보안등,37.5635982025,126.8520236775
231,보안등,37.5637577243,126.8518445283
232,보안등,37.5638696586,126.8516537015
233,보안등,37.5639981682,126.85146069049999
234,보안등,37.5640435306,126.85120808190001
235,보안등,37.5640435306,126.85120808190001
236,보안등,37.5640435306,126.85120808190001
237,보안등,37.5654768152,126.8506223108
238,보안등,37.5654768152,126.8506223108
239,보안등,37.5612040339,126.8557017336
240,보안등,37.5612040339,126.8557017336
241,보안등,37.5603956962,126.8573626355
242,보안등,37.561860495,126.85680807600001
243,보안등,37.561860495,126.85680807600001
244,보안등,37.561860495,126.85680807600001
245,보안등,37.561860495,126.85680807600001
246,보안등,37.561241855300004,126.85776395040001
247,보안등,37.561241855300004,126.85776395040001
248,보안등,37.5606653894,126.85813118739999
249,보안등,37.560515374699996,126.8584324199
250,보안등,37.5604142081,126.8588213873
251,보안등,37.56040129,126.8602317572
252,보안등,37.5606500787,126.86040412
253,보안등,37.561086973,126.8605576849
254,보안등,37.5585733948,126.8637398416
255,보안등,37.5604306618,126.8636211281
256,보안등,37.5604306618,126.8636211281
257,보안등,37.5604306618,126.8636211281
258,보안등,37.5604306618,126.8636211281
259,보안등,37.5611125069,126.8642215599
260,보안등,37.5611125069,126.8642215599
261,보안등,37.5611125069,126.8642215599
262,보안등,37.5611125069,126.8642215599
263,보안등,37.558446123,126.8608378547
264,보안등,37.558446123,126.8608378547
265,보안등,37.558446123,126.8608378547
266,보안등,37.5591095584,126.8609411981
267,보안등,37.5591095584,126.8609411981
268,보안등,37.5591095584,126.8609411981
269,보안등,37.561241855300004,126.85776395040001
270,보안등,37.561241855300004,126.85776395040001
271,보안등,37.561241855300004,126.85776395040001
272,보안등,37.5776004958,126.80722043870001
273,보안등,37.5776004958,126.80722043870001
274,보안등,37.5583568391,126.8139931164
275,보안등,37.5618449729,126.81619139790001
276,보안등,37.5618980423,126.8159027641
277,보안등,37.5618632438,126.81571666389999
278,보안등,37.5616508768,126.81548437030001
279,보안등,37.5616693351,126.8151310819
280,보안등,37.5620394498,126.81616058700001
281,보안등,37.5620394498,126.81616058700001
282,보안등,37.5620394498,126.81616058700001
283,보안등,37.5619775898,126.81589611700001
284,보안등,37.561959848,126.8156124107
285,보안등,37.5619291083,126.81537174620001
286,보안등,37.5619054708,126.8151213306
287,보안등,37.5620787123,126.8158580649
288,보안등,37.5620589986,126.8156387644
289,보안등,37.562052531300004,126.815305569
290,보안등,37.5620403827,126.8150272815
291,보안등,37.5621775096,126.81496684209999
292,보안등,37.5619351745,126.8147578265
